country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Germany,0.37,0.34,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.24,0.24,0.18,0.15,0.14,0.14,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.11,0.11,0.12,0.13,0.13,0.15,0.16,0.61,0.7,0.76,0.78,0.8,1.03,1.03,1.54,1.76,1.67,1.56,1.56,1.29,1.16,1.2,1.2,1.21,1.4,1.34,1.18,0.95,0.81,0.75,0.76,0.78,0.79,0.78,0.83,0.4,0.54,0.9,1.53,1.69,1.73,1.75,1.74,1.81,2.97
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,7.18,9.51,14,9.32,9.63,7.93,4.39,4.31,3.94,2.91,0.26,6.03,13.4,15.3,4.49,5.57,5.36,4.34,3.89,3.53,3.39,3.23,3.19,3.09,2.81,3.56,2.2,1.26,1.09,0.82,1.09,1.44,1.72,2.37,2.33,2.45,2.46,2.19,2.52,2.59,2.72,2.87,2.94,3.14,3.17
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0.05,0.04,0.04,0.03,0.03,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0.04,0.09,0.07,0.07,0.06,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.07,0.17,0.17,0.45,0.59,0.53,0.6,0.64,0.7,0.76,0.86,0.95,1.24,1.26,1.29,1.3,1.3,1.44,1.47,1.45,1.33,1.22,0.83,0.68,0.5,0.43,0.39,0.38,0.27,0.24,0.26,0.39,0.53,0.71,0.7,0.68,0.67,0.65,0.64,1.12
Dominican Republic,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0,0.02,0,0,0.01,0.01,0.06,0.07,0.08,0.08,0.08,0.08,0.09,0.08,0.07,0.07,0.05,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.25,0.32,1.04,1.05,1.04
Algeria,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.13,0.24,0.3,0.29,0.29,0.28,0.86,0.83,0.81,0.78,0.79,0.73,0.71,0.7,0.68,0.66,0.65,0.82,0.8,0.78,0.68,0.66,0.58,0.55,0.54,0.55,0.54,0.54,0.53,0.52,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.23,0.23,0.23,0.23
Ecuador,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.04,0.07,0.07,0.09,0.12,2.05,0.93,1.13,1.14,0.95,0.89,0.86,0.84,0.82,0.77,0.62,2.2,2.9,3.03,3.19,3.14
Egypt,,,,,,,,,,,,,,0,0.02,0,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.07,0.01,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.12,0.12,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.27,0.27,0.26,0.26,0.28,0.3,0.31,0.31,0.31,0.32
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.05,0.09,0.11,0.11,0.13,0.08,0.09,0.14,0.15,0.17,0.21,0.23,0.24,0.17,0.16,0.16,0.15,0.11,0.1,0.09,0.08,0.07,0.07,0.07,0.01,0.01,0,0
Spain,0.01,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.04,0.04,0.05,0.06,0.06,0.07,0.09,0.11,0.12,0.07,0.05,0.04,0.05,0.04,0.04,0.07,0.06,0.06,0.06,0.06,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.03,0.04,0.07,0.11,0.21,0.4,0.44,0.48,0.82
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.02,0.03,2.17
Ethiopia,,,,,,,,,,,,,,,,,0,0.07,0.07,0.07,0.08,0.05,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.08,0.46,0.45,0.32,0.72,1.53,1.54,1.62,1.06,0.83,0.51,0.63,0.68,0.66,0.53,0.42,0.4,0.3,0.22,0.19,0.18,0.15,0.13,0.12,0.1,0.1,0.14,0.17,0.32,0.4,0.45,0.67,0.72,0.75,0.82,0.81,0.64,0.68,0.68,0.71
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.02,0.02,0.04,0.05,0.09,0.12,0.17,0.19,0.2,0.22,0.23,0.24,0.25,0.28,0.25,0.24,0.21,0.22,0.22,0.25,0.13,0.18,0.21,0.2,0.21,0.22,0.23,0.25,0.68,0.44,0.43,0.46,0.58,0.54,0.48,1.06
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
