country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ethiopia,,,,,,,,,,,,,,,,,0.11,0.12,0.11,0.19,0.19,0.15,0.15,0.16,0.28,0.32,1.94,2.59,4.67,7.35,3.81,3.59,3.54,3.94,4.34,3.7,3.47,3.4,3.19,2.81,0.5,0.6,0.47,0.41,0.18,0.16,0.14,0.11,0.11,0.12,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.13,0.13,0.12,0.12,0.13,0.15,0.16,0.15,0.2,0.2,0.2,0.24,0.24,0.24
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.02,0.03,0.04,0.04,0.04,0.04,0.25,0.31,0.3,0.25,0.21,0.2,0.22,0.23,0.23,0.25,0.24,0.2,0.17,0.17,0.19,0.14,0.14,0.15,0.21,0.32,0.35,0.37,0.38
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.06
UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.1,0.01,1.02,1.02,0.79,0.68,0.55,0.48,0.49,0.39,0.24,0.26,0.27,0.41,0.46,0.51,0.46,0.34,0.36,0.48,0.38,0.42,0.54,0.61,0.74,0.72,0.6,0.7,0.87
Ghana,,,,,,,,,,,0.07,0.07,0.07,0.07,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.09,0.05,0.03,0.06,0.06,0.09,0.09,0.1,0.09,0.11,0.12,0.09,0.11,0.1,0.09,0.07,0.07,0.07
Guinea,,,,,,,,,,,,,,,,,,,,,0.01,0,0,0,6.54,10.7,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.05,0.07,0.08,0.08,0.08,0.1,0.1,0.11,0.12,0.14,0.14,0.17,0.22,0.24,0.29,0.3,0.35,0.45,0.45,0.44,0.44,0.45,0.44
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.01,0.02,0.03,0.04,0.05,0.07,0.07,0.08,0.07,0.07,0.14,0.13,0.13,0.14,0.17,0.17,0.19,0.23,0.34,0.71,0.95,1.32,1.54,1.28,1.08,0.69,0.64,0.61
Guinea-Bissau,,,,,,,,,,,,,1.01,5.08,8.66,10.7,10.4,9.72,11.5,11.3,13.5,13.8,13.9,14.4,6.97,5.28,0.67,0.63,0.61,0.6,0.47,0.58,0.57,0.57,0.59,0.59,0.54,0.53,0.52,0.51,0.5,0.49,0.47,0.46,0.07,0.07,0.07,0.75,0.26,0.13,0.13,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.13,0.14,0.18,0.19,0.19,0.29,0.25,0.24,0.22,0.22,0.21
Equatorial Guinea,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.34,31.8,32.6,44.2,33.2,14.6,13.4,6.06,5.7,0,0,0,0,0,0,0,0,0.01,0.02,0.04,0.06,0.06,0.07,0.08,0.07,0.06,0.08,0.08,0.08,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.08,0.27,0.26,0.25,0.25,0.02,0.08,0.07,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.02,0.03,0.1,0.21,0.41,0.31,0.2,0.23,0.22,0.32,0.33,0.37,0.36,0.32,0.31,0.32,0.32,0.27,0.14,0.14,0.13,0.14,0.12,0.12,0.12
Guatemala,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.01,0.03,0.5,0.56,0.62,0.67,0.65,0.64,0.63,0.51,0.53,0.56,0.56,0.51,0.49,0.41,0.38,0.34,0.29,0.24,1.04,0.97,0.9,0.76,0.49,0.27,0.2,0.15,0.12,0.1,0.05,0.05,0.05,0.1,0.15,0.23,0.36,0.54,0.63,0.83,0.98,1.06,1.07
Guyana,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0.05,0.15,0.18,0.11,0.1,0.11,0.12,0.13,0.14,0.12,0.12,0.12,0.13,0.11,0.1,0.07,0.1,0.11,0.12,0.12,0.14,0.14
